"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"MPU-6050_Breakout";1;"MPU-6050 6-DoF";;;
2;"R3,R4,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"330";;;
3;"J1";"LILYGO_T-A7670E_G_SA R2";1;"LilyGo-T-A7670E";;;
4;"SW1";"SW_B3WN-600x_OMR";1;"SW_Push";;;
5;"RV2";"POT_3386P";1;"POT2";;;
6;"RV1";"POT_3386P";1;"POT1";;;
7;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
8;"D4,D1";"LED_D5.0mm";2;"LED_BLUE";;;
9;"D3";"LED_D5.0mm";1;"LED_RED";;;
10;"D2";"LED_D5.0mm";1;"LED_YELLOW";;;
