Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_BLUE","LED_D5.0mm",156.460000,-92.500000,0.000000,top
"D2","LED_YELLOW","LED_D5.0mm",156.460000,-82.500000,0.000000,top
"D3","LED_RED","LED_D5.0mm",156.225000,-72.000000,0.000000,top
"D4","LED_BLUE","LED_D5.0mm",155.960000,-63.000000,0.000000,top
"J1","LilyGo-T-A7670E","LILYGO_T-A7670E_G_SA R2",111.674300,-76.739200,0.000000,top
"J2","MPU-6050 6-DoF","MPU-6050_Breakout",76.500000,-69.500000,-90.000000,top
"R1","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",141.690000,-92.500000,0.000000,top
"R2","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",141.690000,-83.000000,0.000000,top
"R3","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",141.690000,-73.000000,0.000000,top
"R4","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",141.690000,-64.000000,0.000000,top
"R5","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",141.690000,-56.500000,0.000000,top
"RV1","POT1","POT_3386P",98.031500,-33.512700,0.000000,top
"RV2","POT2","POT_3386P",124.920000,-33.500000,0.000000,top
"SW1","SW_Push","SW_B3WN-600x_OMR",143.387100,-45.000000,0.000000,top
