"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"MPU-6050_Breakout";1;"MPU6050-Breakout";;;
2;"SW1";"SW_B3WN-600x_OMR";1;"SW_Push";;;
3;"U1";"LILYGO_T-A7670E_G_SA R2";1;"LilyGo-T-A7670E-R2";;;
4;"D1";"LED_D5.0mm";1;"LED_GREEN";;;
5;"D2";"LED_D5.0mm";1;"LED_RED";;;
6;"R2,R1,R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"220";;;
7;"D3";"LED_D5.0mm";1;"LED_YELLOW";;;
8;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
9;"RV2";"POT_3386P";1;"POT 2";;;
10;"RV1";"POT_3386P";1;"POT 1";;;
11;"D4";"LED_D5.0mm";1;"LED_BLUE";;;
