Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_GREEN","LED_D5.0mm",66.000000,-119.000000,0.000000,top
"D2","LED_RED","LED_D5.0mm",66.000000,-108.000000,0.000000,top
"D3","LED_YELLOW","LED_D5.0mm",66.000000,-96.000000,0.000000,top
"D4","LED_BLUE","LED_D5.0mm",66.000000,-85.000000,0.000000,top
"R1","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",73.540000,-119.000000,0.000000,top
"R2","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",73.730000,-108.000000,0.000000,top
"R3","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",74.230000,-96.000000,0.000000,top
"R4","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",73.230000,-85.000000,0.000000,top
"R5","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",85.000000,-55.000000,-90.000000,top
"RV1","POT 1","POT_3386P",132.000000,-53.500000,-90.000000,top
"RV2","POT 2","POT_3386P",103.531500,-55.012700,0.000000,top
"SW1","SW_Push","SW_B3WN-600x_OMR",78.500000,-73.612900,-90.000000,top
"U1","LilyGo-T-A7670E-R2","LILYGO_T-A7670E_G_SA R2",109.220000,-89.820000,0.000000,top
"U2","MPU6050-Breakout","MPU-6050_Breakout",144.000000,-85.500000,0.000000,top
